usina,proprietario
Itaipu - Binacional,Itaipu Binacional
Belo Monte,Eletronorte
Belo Monte,CHESF
Belo Monte,Neoenergia
Belo Monte,CEMIG
Belo Monte,Vale S.A.
Tucuruí,Eletronorte
Jirau,Engie Brasil
Jirau,Eletrosul
Jirau,CHESF
Santo Antônio,Furnas
Santo Antônio,CEMIG
Ilha Solteira,CTG Brasil
Xingó,CHESF
Paulo Afonso IV,CHESF
Itumbiara,Furnas
Teles Pires,Neoenergia
Teles Pires,Eletrosul
Teles Pires,Furnas
São Simão,SPIC Brasil
Foz do Areia (Gov. Bento Munhoz),COPEL
Jupiá (Eng. Souza Dias),CTG Brasil
Porto Primavera (Eng. Sérgio Motta),CESP
Itaparica (Luiz Gonzaga),CHESF
Itá,Engie Brasil
Marimbondo,Furnas
Salto Santiago,Engie Brasil
Água Vermelha (José Ermirio de Moraes),AES Tietê
Serra da Mesa,CPFL
Serra da Mesa,Furnas
Segredo (Gov. Ney Braga),COPEL
Salto Caxias (Gov. José Richa),COPEL
Furnas,Furnas
Emborcação,CEMIG
Machadinho (Carlos Ermírio de Moraes),Votorantim Energia
Machadinho (Carlos Ermírio de Moraes),Engie Brasil
Machadinho (Carlos Ermírio de Moraes),CEEE
Machadinho (Carlos Ermírio de Moraes),Vale S.A.
Estreito,Engie Brasil
Estreito,Vale S.A.
Salto Osório,Engie Brasil
Sobradinho,CHESF
Estreito (Luís Carlos Barreto),Furnas
Lajeado (Luiz Eduardo Magalhães),EDP Brasil
Lajeado (Luiz Eduardo Magalhães),CEB
Lajeado (Luiz Eduardo Magalhães),CPFL
Henry Borden,EMAE
Campos Novos,CPFL
Campos Novos,Votorantim Energia
Campos Novos,CEEE
Foz do Chapecó,CPFL
Foz do Chapecó,Furnas
Foz do Chapecó,CEEE
Três Irmãos,Furnas
Paulo Afonso III,CHESF
São Manoel,EDP Brasil
São Manoel,CTG Brasil
São Manoel,Furnas
Barra Grande,CPFL
Barra Grande,Votorantim Energia
Cachoeira Dourada,Enel Brasil
Capivara (Escola de Engenharia Mackenzie),CTG Brasil
Taquaruçu (Escola Politécnica),CTG Brasil
Nova Ponte,CEMIG
Itaúba,CEEE
Peixe Angical,EDP Brasil
Peixe Angical,Furnas
Peixoto (Mascarenhas de Moraes),Furnas
Itapebi,Neoenergia
Cana Brava,Engie Brasil
Paulo Afonso II,CHESF
Jaguara,Engie Brasil
Chavantes,CTG Brasil
Miranda,Engie Brasil
Sinop,Eletronorte. CHESF
Moxotó (Apolônio Sales),CHESF
Irapé (Pres. Juscelino Kubitschek),CEMIG
Três Marias,CEMIG
Nilo Peçanha,Light
Volta Grande,CEMIG
Corumbá I,Furnas
Santo Antonio do Jari,EDP Brasil
Santo Antonio do Jari,CTG Brasil
Mauá (Gov. Jayme Canet Júnior),COPEL
Mauá (Gov. Jayme Canet Júnior),Eletrosul
Rosana,CTG Brasil
Baixo Iguaçu,Neoenergia
Baixo Iguaçu,COPEL
Nova Avanhandava,AES Tietê
Aimorés (Eliezer Batista),Aliança Energia
Porto Colômbia,Furnas
Simplício,Furnas
Colíder,COPEL
Pai Querê,Alcoa
