usina,rio
Itaipu - Binacional,Rio Paraná
Belo Monte,Rio Xingú
Tucuruí,Rio Tocantins
Jirau,Rio Madeira
Santo Antônio,Rio Madeira
Ilha Solteira,Rio Paraná
Xingó,Rio São Francisco
Paulo Afonso IV,Rio São Francisco
Itumbiara,Rio Paranaíba
Teles Pires,Rio Teles Pires
São Simão,Rio Paranaíba
Foz do Areia (Gov. Bento Munhoz),Rio Iguaçu
Jupiá (Eng. Souza Dias),Rio Paraná
Porto Primavera (Eng. Sérgio Motta),Rio Paraná
Itaparica (Luiz Gonzaga),Rio São Francisco
Itá,Rio Uruguai
Marimbondo,Rio Grande
Salto Santiago,Rio Iguaçu
Água Vermelha (José Ermirio de Moraes),Rio Grande
Serra da Mesa,Rio Tocantins
Segredo (Gov. Ney Braga),Rio Iguaçu
Salto Caxias (Gov. José Richa),Rio Iguaçu
Furnas,Rio Grande
Emborcação,Rio Paranaíba
Machadinho (Carlos Ermírio de Moraes),Rio Uruguai
Estreito,Rio Tocantins
Salto Osório,Rio Iguaçu
Sobradinho,Rio São Francisco
Estreito (Luís Carlos Barreto),Rio Grande
Lajeado (Luiz Eduardo Magalhães),Rio Tocantins
Henry Borden,Rio Cubatão
Campos Novos,Rio Canoas
Foz do Chapecó,Rio Uruguai
Três Irmãos,Rio Tietê
Paulo Afonso III,Rio São Francisco
São Manoel,Rio Teles Pires
Barra Grande,Rio Pelotas
Cachoeira Dourada,Rio Paranaíba
Capivara (Escola de Engenharia Mackenzie),Rio Paranapanema
Taquaruçu (Escola Politécnica),Rio Paranapanema
Nova Ponte,Rio Araguari
Itaúba,Rio Jacuí
Peixe Angical,Rio Tocantins
Peixoto (Mascarenhas de Moraes),Rio Grande
Itapebi,Rio Jequitinhonha
Cana Brava,Rio Tocantins
Paulo Afonso II,Rio São Francisco
Jaguara,Rio Grande
Chavantes,Rio Paranapanema
Miranda,Rio Araguari
Moxotó (Apolônio Sales),Rio São Francisco
Irapé (Pres. Juscelino Kubitschek),Rio Jequitinhonha
Três Marias,Rio São Francisco
Nilo Peçanha,Ribeirão das Lajes
Volta Grande,Rio Grande
Corumbá I,Rio Corumbá
Santo Antonio do Jari,Rio Jari
Mauá (Gov. Jayme Canet Júnior),Rio Tibagi
Rosana,Rio Paranapanema
Baixo Iguaçu,Rio Iguaçu
Nova Avanhandava,Rio Tietê
Aimorés (Eliezer Batista),Rio Doce
Porto Colômbia,Rio Grande
Simplício,Rio Paraíba do Sul
Promissão (Mário Lopes Leão),Rio Tietê
Dardanelos,Rio Aripuanã
Capivari-Cachoeira (Gov. Parigot de Souza),Rio Capivari
Ferreira Gomes,Rio Araguari
Balbina,Rio Uatumã
São Salvador,Rio Tocantins
Capim Branco I (Amador Aguiar I),Rio Araguari
Boa Esperança (Pres. Castelo Branco),Rio Parnaíba
Passo Fundo,Rio Passo Fundo
Cachoeira Caldeirão,Rio Araguari
Samuel,Rio Jamari
Funil,Rio Paraíba do Sul
Serra do Facão,Rio São Marcos
Igarapava,Rio Grande
Manso,Rio Manso
Capim Branco II (Amador Aguiar II),Rio Araguari
Mascarenhas,Rio Doce
Garibaldi,Rio Canoas
Salto Pilão,Rio Itajaí-Açu
Ilha dos Pombos,Rio Paraíba do Sul
Paulo Afonso I,Rio São Francisco
Jacuí (Leonel Brizola),Rio Jacuí
Funil,Rio Grande
Ponte de Pedra,Rio Correntes
Pedra do Cavalo,Rio Paraguaçu
Passo Real,Rio Jacuí
Itiquira I e II,Rio Itiquira
Bariri (Álvaro de Souza Lima),Rio Tietê
Barra Bonita,Rio Tietê
Guilman Amorim,Rio Piracicaba
Candonga (Risoleta Neves),Rio Doce
Baguari,Rio Doce
Fontes Nova,Ribeirão das Lajes
Ibitinga,Rio Tietê
Monte Claro,Rio das Antas
Castro Alves,Rio das Antas
Corumbá IV,Rio Corumbá
Dona Francisca,Rio Jacuí
Jauru,Rio Jauru
Santa Clara,Rio Jordão
Fundão,Rio Jordão
Guaporé,Rio Guaporé
Quebra Queixo,Rio Chapecó
Salto,Rio Verde
Porto Estrela,Rio Santo Antônio
Euclides da Cunha,Rio Pardo
Queimado,Rio Preto
Salto Grande,Rio Santo Antônio
Jurumirim (Armando A. Laydner),Rio Paranapanema
14 de Julho,Rio das Antas
Pereira Passos,Ribeirão das Lajes
Corumbá III,Rio Corumbá
Salto Rio Verdinho,Rio Verde
Barra dos Coqueiros,Rio Claro
Paraibuna,Rio Paraibuna
Retiro Baixo,Rio Paraopeba
Canoas I,Rio Paranapanema
Caconde,Rio Pardo
Sá Carvalho,Rio Piracicaba
Coaracy Nunes,Rio Araguari
Passo São João,Rio Ijuí
Monjolinho (Alzir S. Antunes),Rio Passo Fundo
Salto Grande (Lucas Nogueira Garcez),Rio Paranapanema
Rondon II,Rio Comemoração
Canoas II,Rio Paranapanema
Piraju,Rio Paranapanema
Foz do Rio Claro (Eng. Godoy Pereira),Rio Claro
Caçu,Rio Claro
Sobragi,Rio Paraibuna
Santa Clara,Rio Mucuri
Santa Branca,Rio Paraíba do Sul
Rosal,Rio Itabapoana
Batalha,Rio São Marcos
Itutinga,Rio Grande
São José,Rio Ijuí
Picada,Rio do Peixe
São Domingos,Rio Verde
Camargos,Rio Grande
Ourinhos,Rio Paranapanema
Curuá-Una (Silvio Braga),Rio Curuá-Una
Limoeiro (Armando de Salles Oliveira),Rio Pardo
Espora,Rio Corrente
Jaguari,Rio Jaguari
